comment,curiet,debyet,element,gapene,kaizero_value,moment_value,name,neelt,nhc2zero_value,oz,pcohere_value,phc2zero_value,ppenet_value,rh300,shape,t1_value,t2_value,t3_value,tcn_value,tcsus_value,tcwidth_value,critical_temp_K,upper_critical_field_0K_T,gamma_sommerfeld_mJmolK2,resistivity_normal_uOhmcm,resistivity_roomtemp_uOhmcm,penetration_depth_nm,coherence_length_nm,dhc2dt_TK,dtcdp_KGPa,density_gcm3,lower_critical_field_0K_T,thermopower_300K_uVK,energy_gap_meV,data_quality_flag
G-L = 1.07. GAPENE from SP-heat.,,418.0,C2Y1,3.64,,,YC2,,,,,,,,,,4.02,,,,,4.02,0.059,2.782,,,81.0,74.0,,,,,,,
,,,Nd1Fe0.5Ru0.5As1F0.11O0.89,,,,"Nd(O,F)FeAs",,,,,,,,shape_01,,14.5,,,,,14.5,,,,,,,,,,,0.0,,
OZ=3.99-3.              97,,,Nd1.85Th0.15Cu1O3.98,,,,"(Nd,Th)2CuO4",,,3.98,,,,,,,17.0,,,,,17.0,,,,,,,,-0.33,,,,,
Hc2(0) shows Hc2(4.2K),,,Nb70Mo10Si20,,,,"(Nb,Mo)0.8Si0.2",,,,,,,,,,,4.8,,,,4.8,1.16,,,,,,2.89,,,,,,
,,,Tl2Ba2Cu1O6+Z,,,,Tl2Ba2CuO6,,,,,,,,shape_03,,50.0,,,,,50.0,,,,,,,,,,,,,
minor phase (second phase) : CsFeCl3(BaNiO3-phase) about 10%,,,Tl0.59Cs0.26Fe1.9Se2,,,,"(Tl,Cs)xFeySe2",,,,,,,,shape_02,28.0,,32.6,,,,30.3,,,,,,,,,,,,,
,,,Y1Ba1Sr1Cu2.9Mo0.1O7.16,,,,"Y(BaSr)(Cu,Mo)3O7",,,7.16,,,,,shape_01,,86.0,,,,,86.0,,,,,,,,,,,,,
P-induced SC. data shows at P = 17.9 GPa. Space G = P4/mmm for P > 11 GPa.,,,Bi1La1,,,,LaBi(P=17.9GPa),,,,,,,,shape_03,7.2,,,,,,7.2,6.1,,,,,,,,,,,,
,,,Y1Ba2Cu2.7Fe0.3OZ,,,,"YBa2(Cu,Fe)3O7",,,,,,,,,,39.0,,,,,39.0,,,,,,,,,,,,,
,,,Bi2Sr2Ca1Cu2Oz,,,,BiSr2CaCu2O8,,,,,,,,shape_01,60.0,,,,61.0,4.0,61.0,,,,1.9,,,,,,,-3.8,,
,,,Nd2Ba2Ce1Ti2Cu2O13,,,3.3,,,,,,,,,shape_01,,,,15.0,,,,,,,,,,,,,,,,
,,,Mo6Se6Te2,,,,"Mo6(Se,Te)8",,,,,,,,,,5.88,,,,,5.88,,,,,,,4.57,,,,,,
,,,Hg1Ba2Ca3Cu4O10+d,,,,HgBa2Ca3Cu4O10,,,,,195.0,,,shape_01,,,,,125.0,6.0,125.0,,,,,,,,,,,,,
,,,C1.55Th0.7Y0.3,,,,C1.55Th0.7Y0.3,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
"carrier estimated from s(290K). in-plane resistivity, MR, Hall effect were measured.",,,Y0.9Ca0.1Ba2Cu3Oz,,,,"(Y,Ca)Ba2Cu3Oz",,,,,,,,shape_05,,79.5,,,,0.7,79.5,,,,,,,,,,,-5.3,,
